id;code_groupe_assures;code_groupe_population;type_groupe_assures;date_debut_periode_groupe_assures;libelle_groupe_assures_type_autre;code_etat_groupe_assures
1;expansion;guzzle pointless;sans;2025-07-22;disclosure ack midwife;forenenst
2;meh;flight woot;brr venture throbbing;2025-07-21;oof well-made contradict;desk
3;bookcase;how;halt hmph;2025-07-22;outside because;brr
4;vice meanwhile;harangue chapel attend;unfortunate sudden bid;2025-07-22;programme;strange where about
5;helplessly;atop wholly blissfully;inasmuch;2025-07-22;though;stay
6;glaring yearningly;anti;tricky though;2025-07-22;yuck miserly;unless digital
7;below afterwards;grave deceivingly impassioned;blah triumphantly;2025-07-22;readmit;past pine assist
8;millet overconfidently;stabilise boohoo;winged;2025-07-22;diversity pleased yum;cease nor
9;perfumed brook gosh;besides;apud;2025-07-22;including;order after
10;knowingly cheerful cuddly;ack jaywalk kooky;well;2025-07-21;times pitiful;out finer
