id;numero_operation_niveau_0;etat_operation;date_effet_operation;date_demande_operation;date_creation;code_acte_gestion;numero_operation_annulee
1;lest jaggedly;innovate;2025-07-22;2025-07-22;2025-07-21;rotten;quarterly
2;past;past expansion status;2025-07-21;2025-07-22;2025-07-22;reproachfully;for
3;sediment;downchange narrate;2025-07-22;2025-07-22;2025-07-21;briefly talkative;ski markup dirty
4;recklessly;gee psst;2025-07-22;2025-07-22;2025-07-22;content sleet;legging
5;privilege alb shirk;stingy;2025-07-21;2025-07-22;2025-07-22;cute soliloquy equally;welcome
6;peninsula finally;by mouser;2025-07-22;2025-07-21;2025-07-22;uh-huh;inwardly worst
7;clueless turbulent given;gah defensive after;2025-07-21;2025-07-22;2025-07-22;blend dimly;valentine ignorant phew
8;yum normal;king quintuple;2025-07-22;2025-07-21;2025-07-21;outlying;of
9;owlishly eek;forecast successfully minister;2025-07-22;2025-07-22;2025-07-21;outside;coal about
10;deficient grass arraign;sham incline finer;2025-07-22;2025-07-22;2025-07-21;tremendously whoa nor;uh-huh duh although
