id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape;identifiant_ai;checked
1;nor mobilize for;woot yum;viciously now;micromanage aha besides;passionate factorise;electrify psst flash;longingly whoever ski;following huge ape;2025-07-21;2025-07-22;2025-07-21;unnaturally woot;lay;2025-07-22;2025-07-22;generally free;overtrain;millet;hamburger unfortunately;experience bootleg coordination;pish;gee apropos;present maul snack;ugh afore;false
2;gummy besides so;markup compassionate puppet;haze although outdo;hefty;throughout sternly past;whoa oh precedent;unaccountably;bonnet quirkily evince;2025-07-22;2025-07-21;2025-07-22;down;obscure thoughtfully popularity;2025-07-22;2025-07-22;beside;demobilise for long-term;instead entice;regulate;drive inculcate;oof innovate;royal;sinful;illiterate celsius;false
3;beside weakly;lest;appropriate oh inexperienced;decryption ugh depute;after elegant;yahoo phooey privilege;an worth;provided urban different;2025-07-21;2025-07-21;2025-07-22;granny uh-huh;reconstitute narrate considering;2025-07-22;2025-07-22;even responsibility;anxiously;er;notwithstanding since whenever;yahoo freight resort;reservation;pushy;foodstuffs foretell vista;descent willfully deplore;false
4;book incidentally;underneath what duffel;pretend electrify very;railway direct stay;untimely buck;footrest offend;devise quit;plus hypothesize;2025-07-21;2025-07-21;2025-07-22;warmly jaywalk;volleyball;2025-07-22;2025-07-22;busily kookily puppet;bah overcharge;what unfortunately before;meanwhile instead yum;merrily soft;riser instantly ultimately;cone;blue nor;mmm skateboard;false
5;inspect;ouch whoever woot;reprove accessorise briefly;whoa wherever;or pearl;sniveling but makeover;meanwhile;that onto;2025-07-22;2025-07-21;2025-07-22;lest except ew;pear;2025-07-21;2025-07-21;pause woot;customise lest thick;duh dock;storyboard qua sans;lest account;cleverly as;while zowie;a shaft;gah;true
6;ack;so onto;apropos;smarten boo nucleotidase;hence;baggy large heavily;tightly icy regarding;or yahoo;2025-07-22;2025-07-21;2025-07-21;yieldingly foot who;forenenst harangue;2025-07-22;2025-07-21;chunter bonfire since;ample;rebuke although;until puppet;penalise if;chunder and;tomatillo anxiously blank;gosh along standard;however noon cook;true
7;nor;gladly whenever like;psst;er than pish;since woefully rebuild;inasmuch;meanwhile yowza;if godfather;2025-07-22;2025-07-22;2025-07-22;even accredit;soon;2025-07-22;2025-07-21;reach;boo ew;knottily;wonderful arrogantly innovation;duh oof jaunty;like for;barracks like from;engage duster uh-huh;offensively great enthusiastically;false
8;faithfully;whoa why outside;realistic;a over boldly;hyena;polished aboard;beside gadzooks;zany;2025-07-21;2025-07-21;2025-07-21;tuber;excitedly caring heating;2025-07-22;2025-07-22;subsidy;disarm;segregate horst;ew before into;sign substantial functional;hotfoot faraway charming;intelligent;stranger;cap that contradict;true
9;pfft duh immediate;lace unkempt;membership which sans;yet actually vacation;blah;cannon now misreport;that;healthily though through;2025-07-21;2025-07-21;2025-07-22;over;as huzzah;2025-07-22;2025-07-21;for;mmm;gee;inside towards gah;mid countess;abandoned censor;nucleotidase;divert essence although;insist fiercely optimal;false
10;zesty however monthly;for boohoo actually;though despite not;into;oh;spook round;young although;frilly beautifully pish;2025-07-22;2025-07-22;2025-07-22;gah bravely;indeed quicker;2025-07-22;2025-07-21;untrue accompanist hydrolyse;likewise unless hoot;during notwithstanding opposite;shimmering;for aha almost;knowledgeably;whoever;viciously slake laughter;down cruelly calculating;false
