id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic;identifiant_ai;checked
1;now;faithfully distinct unlike;eyebrow whereas yippee;tomography in bleakly;wealthy plump;resort agile;wherever;pfft;2025-07-21;2025-07-22;2025-07-21;gadzooks cleaner up;out deplore jaggedly;seemingly aha submissive;2025-07-22;2025-07-22;understanding lest immediate;briskly whenever blaring;blah institute vanish;windy instructive;yowza;shear serve safeguard;till whether;true
2;even;tepid duh;storyboard fooey;save pro;loosely unfortunately;yum;like;decouple;2025-07-21;2025-07-22;2025-07-22;cheerfully bah;factorise;considering ouch;2025-07-22;2025-07-22;who;emphasize;redesign;misjudge clavicle starboard;after at yahoo;until bakeware oh;untimely;false
3;scrap as;tender;outnumber bore evince;gratefully;apud amid;sizzling till;loose replicate procrastinate;courageously before;2025-07-22;2025-07-22;2025-07-21;following;athwart pillow;sharply per cross;2025-07-21;2025-07-22;after likewise;pish slowly;igloo;exterior provided;sympathetically pish downchange;phew;oof;true
4;decongestant usefully though;excepting webbed zowie;low ugh brr;obediently;draft um;vice;amongst;instead meh hmph;2025-07-21;2025-07-21;2025-07-22;boldly;expert grass avow;asset until;2025-07-21;2025-07-22;victorious uh-huh;to airmail;limply developing;midst provided;closed wherever;definite;how;false
5;shadowy doubter unto;option boo hm;once shoulder fiercely;hmph though;graceful;t-shirt;reassuringly above hold;creature excepting honorable;2025-07-21;2025-07-22;2025-07-22;ouch;materialise;develop;2025-07-21;2025-07-22;whether elegantly;relieve ew;psst frightfully;phew sometimes till;section hmph;oh;micromanage;true
6;interior trash state;afore for violin;pulse extra-large;incidentally pension dutiful;unconscious supposing comb;since;among;searchingly shush;2025-07-22;2025-07-22;2025-07-21;around;yet upliftingly pension;regarding;2025-07-21;2025-07-22;however ugh;busily suffice;impact;anxiously windy;since stitcher;brave aha;whoever;false
7;weakly character babyish;boiling;ugh like ick;aw ha gracefully;jaggedly toady quantify;fervently;in worthwhile;furthermore;2025-07-22;2025-07-22;2025-07-22;pish however;yet or;parody;2025-07-22;2025-07-21;nun;stall mmm premise;zowie huzzah until;hepatitis bump along;regarding majestically;diagram;ordinary;false
8;long-term;sans consequently astonishing;qua;instead hoot;beyond zowie;ouch what;overcooked rightfully;through hence petticoat;2025-07-22;2025-07-22;2025-07-21;outset boldly;silver yet gastropod;broken;2025-07-21;2025-07-22;acquaintance selfishly selfishly;outgoing blah;abnegate keenly;madly swill;ha the plus;vaguely both;suffice than;true
9;trivial ferociously furiously;uh-huh anxiously;sans;cutover while;uh-huh er;before beyond lyre;burgeon that;but;2025-07-22;2025-07-22;2025-07-22;ouch;instead considering;intermarry;2025-07-21;2025-07-22;zowie meanwhile over;basket circa;hm;worldly;whoa er;on quietly;regularly drat upliftingly;false
10;analogy;a strait petticoat;oh down regularly;intent;chase until fooey;fisherman low enlist;partridge;deer seemingly;2025-07-21;2025-07-22;2025-07-21;wiggly;aged scarcely disapprove;scale below ouch;2025-07-22;2025-07-21;plain;whose blindly;obvious anenst capitalise;beyond nor;boastfully consequently;indeed;operating curse than;false
