id;code_produit;date_adhesion_produit;date_radiation_produit;code_formule;code_famille_risque_formule;titre_formule;type_formule;code_etat
1;excepting atop;2025-07-22;2025-07-22;unabashedly;cricket;hexagon furthermore yippee;including;truly outside worriedly
2;huge once;2025-07-21;2025-07-21;yippee ah damaged;slide reasoning what;inasmuch;plus oh unwritten;lovingly shabby
3;whose;2025-07-21;2025-07-21;violently tense;engage forceful;enormously even;sizzling;hence appliance
4;smog;2025-07-21;2025-07-22;founder;when omelet;oxidise at;eek reprove gah;while buzzing crest
5;whenever pleasing;2025-07-21;2025-07-21;midst next whereas;enormously cloudy whose;madly abaft;for;when rosemary recede
6;sonata kinase;2025-07-21;2025-07-21;thick;chops;poorly ha godparent;sweatshop aha;that inasmuch settle
7;angelic ugh;2025-07-22;2025-07-22;excepting harvest;disclosure;whitewash;while;after
8;accompany;2025-07-21;2025-07-22;upsell steep against;frozen artistic;forage;emulsify cautiously;peony shoot hepatitis
9;dwell plus;2025-07-22;2025-07-21;behind splay;so;warm catalog upbeat;ick swing;courtroom
10;precious milky than;2025-07-22;2025-07-21;wing fooey;wrongly worth;woot carefully;adventurously account;peony old-fashioned
