id;code_variable_declarative;unite_variable_declarative;valeur_facteur_montant;valeur_facteur_taux
1;athwart before;pfft since shipper;finally;gestate clean however
2;gurn;yuck editor;thoroughly along;fathom woot
3;inasmuch blank;obligation;tentacle clueless;yuck impossible ultimate
4;whup;daintily or showy;focused wretched;aw behind
5;coarse;ouch information throughout;esteemed whenever ajar;acidly pfft jaggedly
6;meh wriggler gadzooks;only capitalise provided;actually;imaginary poorly
7;ethical;fort aha provided;by;whether but a
8;opposite adrenalin or;hello mom frank;wherever by fundraising;meh geez mmm
9;wisecrack boo er;along trusting other;why helpfully;permafrost
10;the;reproachfully cone;ouch lazy;ugh
