id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;unethically voluntarily;continually mmm reach;2025-07-22;beneath via plastic;imaginative or next;and whale solution;instructor gleefully;gee with athwart
2;gah oil lumpy;pfft;2025-07-21;as or emboss;outdo rusty;duffel oh amidst;scornful;an
3;jittery;rebel overdub annually;2025-07-22;busy;state braid;sardonic queasy fatal;fess;super hunt lumbering
4;during phew;warlike;2025-07-22;reapply;as;incidentally;um;shallow
5;shakily as sneaky;but technician fortunately;2025-07-22;pleasant unless;suburban camouflage;forearm astride;while orange quickly;since
6;triumphantly;other space;2025-07-21;tensely;meanwhile;whoever;conservation yum cinch;er bookend
7;minor;yum;2025-07-21;gah uh-huh overcooked;mmm deselect cardboard;evil weary far;joyously;yippee account versus
8;till;catalyst;2025-07-22;scratchy bin until;babushka outlandish ha;cleverly;from birth;for um
9;extricate;zowie appropriate neat;2025-07-22;nicely depute;gently;passionate for yippee;verify inside zany;muted legislature through
10;amid;which;2025-07-22;yahoo at sturdy;after;why;whole;blindly
